IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,RELF,PT Graha Mitra Asia Tbk,Properties & Real Estate,Real Estate Development & Management,Akselerasi,90.0,0.1,0.09090909090909091,0.09259259259259259,0.09322033898305085,0.09302325581395349,0.09929078014184398,0.0967741935483871,-0.5111111111111111,Property & Real Estate,"Sovereign Plaza Lt,5A Kav,36 Jl TB Simatupang Kota Jakarta Selatan - Daerah Khusus Ibukota Jakarta 12430","http://www,relifeasia,com/",1200000000,20.95,AI - UOB KAY HIAN SEKURITAS,AI,2023-05-25,2023-06-05,90,100,2023-06-15,2023-06-20,2023-06-20,2023-06-21,2023-06-22,1.0,125.0
Closed,VKTR,PT VKTR Teknologi Mobilitas Tbk,Consumer Cyclicals,Auto Parts & Equipment,Pengembangan,100.0,0.11,0.0,0.009009009009009009,0.008928571428571428,0.017699115044247787,0.008695652173913044,0.017241379310344827,6.45,"Bergerak di bidang perdagangan KBLBB, komponen suku cadang, dan industri pengecoran besi","Bakrie Tower Lantai 35 Jl, H,R, Rasuna Said Jakarta 12940","https://www,vktr,id",8750000000,20.0,KI - CIPTADANA SEKURITAS ASIA,"KI,IF,LG",2023-05-26,2023-05-31,100,130,2023-06-13,2023-06-15,2023-06-15,2023-06-16,2023-06-19,0.0,
Closed,MAXI,PT Maxindo Karya Anugerah Tbk,Consumer Non-Cyclicals,Food Retail & Distributors,Pengembangan,100.0,-0.15,-0.1411764705882353,-0.136986301369863,-0.015873015873015872,-0.06451612903225806,-0.017241379310344827,-0.05263157894736842,-0.48,Bergerak dalam bidang usaha Industri Makanan Ringan,"Kawasan Industri Sentul Jl, Cahaya Raya Kav H5, Desa Leuwinutug, Kec, Citeureup Bogor, Jawa Barat 16180, Indonesia","https://maxisnacks,com/",1000000000,10.41,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-05-22,2023-05-24,100,110,2023-06-06,2023-06-08,2023-06-08,2023-06-09,2023-06-12,1.0,100.0
Closed,KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,Transportation & Logistic,Logistics & Deliveries,Pengembangan,146.0,-0.22154892732876708,-0.14720812182741122,-0.14880952380952384,-0.06293706293706282,-0.007462686567164327,-0.022556390977443504,-0.0076923076923076554,0.0273972602739726,Bergerak di bidang angkutan laut dalam negeri barang umum,"Rukan Grand Puri Niaga Jl, Puri Kencana Blok K6 No 3-O Kel, Kembangan Selatan, Kec, Kembangan Kota Administrasi Jakarta Barat 11610","https://www,pelayarankls,co,id",540000000,24.94,"GR - PANIN SEKURITAS TBK,",GR,2023-05-23,2023-05-26,140,146,2023-06-06,2023-06-08,2023-06-08,2023-06-09,2023-06-12,0.0,
Closed,SMIL,PT Sarana Mitra Luas Tbk,Industrials,Construction Machinery & Heavy Vehicles,Utama,100.0,0.35,0.34814814814814815,-0.06593406593406594,-0.06470588235294118,-0.06918238993710692,-0.02027027027027027,-0.04827586206896552,2.56,Penyewaan Forklift dan Material Handling Equipment Lainnya,"Jl, Gemalapik Raya, Pasirsari, Cikarang Selatan, Bekasi, Jawa Barat 17530","https://www,sml,co,id/",1750000000,20.0,EP - MNC SEKURITAS,"EP,AO,CP",2023-03-30,2023-04-11,100,200,2023-05-08,2023-05-10,2023-05-10,2023-05-11,2023-05-12,1.4,500.0
Closed,MPXL,PT MPX Logistics International Tbk,Transportation & Logistic,Logistics & Deliveries,Pengembangan,108.0,0.3425925925925926,0.020689655172413793,-0.06756756756756757,-0.06521739130434782,-0.046511627906976744,-0.024390243902439025,0.016666666666666666,1.0,Bergerak di bidang Pengangkutan dan Perdagangan,"Jl, Soekarno Hatta No, 16 A Kampung Baru Raya, Labuhan Ratu, Bandar Lampung Lampung 35148","https://www,mpxlogistic,com",400000000,20.0,"GR - PANIN SEKURITAS TBK,",GR,2023-04-11,2023-04-14,103,110,2023-05-03,2023-05-05,2023-05-05,2023-05-08,2023-05-09,0.2,368.0
Closed,DOOH,PT Era Media Sejahtera Tbk,Consumer Cyclicals,Advertising,Pengembangan,100.0,0.05,0.0,-0.047619047619047616,-0.06,0.05319148936170213,-0.04040404040404041,-0.042105263157894736,2.6,Bergerak dalam bidang Aktivitas Periklanan dan Konsultasi Manajemen lainya,"Ruko Fatmawati Mas Blok B5 Kav 205 Jl, RS Fatmawati No 20, Cilandak Barat, Cilandak, Jakarta Selatan, Indonesia – Kode pos 12430","https://www,sspace,id",1547500000,20.0,IU - INDO CAPITAL SEKURITAS,"IU,HD",2023-04-10,2023-04-14,100,120,2023-05-02,2023-05-04,2023-05-04,2023-05-05,2023-05-08,0.8,135.0
Closed,TYRE,PT King Tire Indonesia Tbk,Consumer Cyclicals,Tires,Pengembangan,138.0,0.34782608695652173,-0.06989247311827956,-0.06936416184971098,-0.06832298136645963,-0.06,0.0425531914893617,-0.06802721088435375,-0.07971014492753623,Bergerak dalam bidang Industri Ban Luar dan Ban Dalam,"Jl, Raya Serang KM, 68 Desa Nambo Ilir, Kecamatan Kibin Kabupaten Serang – Banten 42185","https://www,kingland,co,id",700000000,20.13,MI - VICTORIA SEKURITAS INDONESIA,MI,2023-04-06,2023-04-12,108,138,2023-05-02,2023-05-04,2023-05-04,2023-05-05,2023-05-08,0.5,150.0
Closed,JATI,PT Informasi Teknologi Indonesia Tbk,Technology,Software,Pengembangan,100.0,0.35,0.34814814814814815,0.26373626373626374,-0.06956521739130435,0.0,-0.028037383177570093,-0.0673076923076923,0.4,Perdagangan Teknologi Informasi,"Graha Orange Jl, Mampang Prapatan Raya No,3 Mampang Prapatan, Jakarta Selatan 12790","https://jatismobile,com/id/",652500000,20.0,HD - KGI SEKURITAS INDONESIA,"HD,AH",2023-04-11,2023-04-14,100,120,2023-05-02,2023-05-04,2023-05-04,2023-05-05,2023-05-08,1.0,250.0
Closed,RAAM,"PT Tripar Multivision Plus Tbk,",Consumer Cyclicals,Entertainment & Movie Production,Utama,234.0,0.24786324786324787,0.2465753424657534,0.24725274725274726,0.2444933920704846,0.24778761061946902,-0.06382978723404255,-0.06818181818181818,-0.008547008547008548,"Bidang perfilman, khususnya produksi film, pascaproduksi film dan distribusi film","Multivision Tower, Lt, 21 – 23 Jl, Kuningan Mulia Lot 9B, Kuningan Jakarta Selatan 12980, Indonesia","https://www,mvpworld,com",929200000,15.0,AI - UOB KAY HIAN SEKURITAS,"AI,AZ",2023-04-11,2023-04-18,224,250,2023-05-02,2023-05-04,2023-05-04,2023-05-05,2023-05-08,0.0,
Closed,AWAN,PT Era Digital Media Tbk,Technology,Online Applications & Services,Pengembangan,100.0,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,0.02631578947368421,-0.0641025641025641,-0.0684931506849315,1.18,Jasa Konten SMS Premium dan Aktivitas Perusahaan Holding,"Jl, Cikini Raya No, 72, Desa/Kelurahan Cikini, Kec, Menteng, Kota Adm, Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330","https://ptedm,com/",750000000,21.83,IF - SAMUEL SEKURITAS INDONESIA,"IF,AZ",2023-03-28,2023-03-31,100,110,2023-04-12,2023-04-14,2023-04-14,2023-04-17,2023-04-18,0.0,
Closed,MENN,PT Menn Teknologi Indonesia Tbk,Technology,Electronic Equipment & Instruments,Akselerasi,78.0,-0.08974358974358974,-0.09859154929577464,-0.09375,-0.08620689655172414,0.018867924528301886,-0.037037037037037035,-0.038461538461538464,-0.32051282051282054,Bergerak Dalam Bidang Teknologi Digital Penyedia Solusi Sistem Informasi Berbasis Internet of Things,"Mall Ambasador Lt,5 No, 9F Jl, Prof, Dr, Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan, Indonesia - 12940","https://www,menngroup,id",430200000,30.0,IU - INDO CAPITAL SEKURITAS,"IU,HD",2023-03-27,2023-03-31,75,80,2023-04-12,2023-04-14,2023-04-14,2023-04-17,2023-04-18,0.666666667,98.0
Closed,MBMA,"PT Merdeka Battery Materials Tbk,",Basic Materials,Diversified Metals & Minerals,Pengembangan,795.0,0.11320754716981132,-0.06779661016949153,-0.006060606060606061,0.012195121951219513,-0.030120481927710843,-0.012422360248447204,0.012578616352201259,-0.32075471698113206,Grup usaha di sektor nikel dan mineral lainnya yang terintegrasi secara vertikal,"Treasury Tower Lantai 69, District 8, SCBD Lot 28 Jl Jend, Sudirman Kav, 52-53, Jakarta Selatan 12190, DKI Jakarta","https://www,merdekabattery,com/",11000000000,10.24,PD - INDO PREMIER SEKURITAS,"PD,AK,AZ,KI,LG,PP,RX",2023-03-28,2023-04-04,780,795,2023-04-12,2023-04-14,2023-04-14,2023-04-17,2023-04-18,0.0,
Closed,NCKL,PT Trimegah Bangun Persada Tbk,Basic Materials,Diversified Metals & Minerals,Utama,1250.0,0.044,0.03065134099616858,0.022304832713754646,0.01818181818181818,0.03214285714285714,-0.06920415224913495,0.01486988847583643,-0.232,Bergerak di bidang usaha Pertambangan Bijih Nikel,"Gedung Bank Panin Lt, 2 Jalan Jendral Sudirman Kav, 1 Kelurahan Gelora, Kecamatan Tanah Abang, Jakarta Pusat 10270","https://www,tbpnickel,com",7997600000,12.67,CC - MANDIRI SEKURITAS,"CC,AI,C4,CS,DP,TP,Y0",2023-03-15,2023-03-24,1220,1250,2023-04-05,2023-04-10,2023-04-10,2023-04-11,2023-04-12,0.0,
Closed,PIPA,PT Multi Makmur Lemindo Tbk,Industrials,Building Products & Fixtures,Pengembangan,105.0,0.34285714285714286,0.3475177304964539,0.015789473684210527,-0.06735751295336788,-0.06666666666666667,-0.06547619047619048,-0.06369426751592357,0.9238095238095239,Bergerak di bidang manufaktur material bahan bangunan dari plastik berbahan dasar PVC dan perdagang,"Jl, Sultan Iskandar Muda No,70, Kedaung Baru, Neglasari Tangerang, Banten, 15128","https://www,multimakmurlemindo,com",925000000,27.01,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-03-15,2023-03-21,100,110,2023-04-03,2023-04-05,2023-04-05,2023-04-06,2023-04-10,0.9,110.0
Closed,HAJJ,PT Arsy Buana Travelindo Tbk,Consumer Cyclicals,Travel Agencies,Akselerasi,140.0,0.1,0.09740259740259741,0.09467455621301775,0.04864864864864865,-0.0979381443298969,0.08571428571428572,0.09473684210526316,-0.12142857142857143,Perseroan bergerak dalam bidang Jasa Penyedia Akomodasi Perjalanan Wisata,"Ruko Harvest No, 3, Jl, Merpati Raya, Kel, Sawah, Kec, Ciputat, Kota Tangerang Selatan, 15413","https://abttravel,id/",687100000,29.99,SF - SURYA FAJAR SEKURITAS,SF,2023-02-24,2023-03-09,140,145,2023-03-28,2023-04-03,2023-04-03,2023-04-04,2023-04-05,0.8,175.0
Closed,GTRA,PT Grahaprima Suksesmandiri Tbk,Transportation & Logistic,Logistics & Deliveries,Pengembangan,150.0,0.3466666666666667,0.24752475247524752,0.06349206349206349,-0.04477611940298507,0.0859375,-0.03597122302158273,-0.06716417910447761,0.88,Bergerak dalam bidang angkutan bermotor untuk barang umum,"Gedung Graha 55 Lt,3, Jalan Tanah Abang II No, 57 Kel, Petojo Selatan, Kec, Gambir, Jakarta Pusat 10160, Indonesia","https://www,grahatrans,com",378875000,20.0,AI - UOB KAY HIAN SEKURITAS,AI,2023-02-27,2023-03-06,100,150,2023-03-21,2023-03-28,2023-03-28,2023-03-29,2023-03-30,0.0,
Closed,NSSS,PT Nusantara Sawit Sejahtera Tbk,Consumer Non-Cyclicals,Plantations & Crops,Pengembangan,127.0,0.06299212598425197,-0.05185185185185185,0.015625,0.023076923076923078,-0.015037593984962405,0.05343511450381679,0.0,4.47244094488189,Aktivitas Perusahaan Holding dan Aktivitas Konsultasi Manajemen Lainnya,"Menara Imperium LT20, Suite C, Jalan H,R, Rasuna Said Kav,1, Kelurahan Guntur, Kecamatan Setiabudi, Kota Administrasi Jakarta Selatan 12980, Provinsi DKI Jakarta","https://nssgroup,id/",3568235300,15.0,IF - SAMUEL SEKURITAS INDONESIA,"IF,AZ,KK,OD,PF,RS,YP",2023-02-17,2023-02-22,122,190,2023-03-02,2023-03-08,2023-03-08,2023-03-09,2023-03-10,0.5,190.0
Closed,TRON,PT Teknologi Karya Digital Nusa Tbk,Technology,IT Services & Consulting,Pengembangan,180.0,0.3111111111111111,0.15254237288135594,0.051470588235294115,-0.06993006993006994,0.015037593984962405,0.06666666666666667,0.0,0.26666666666666666,Bergerak dalam bidang penyediaan solusi sistem informasi berbasis telematika dan Internet of Things,"Mini Office Central 88 Blok G1 No, 826, Jl, Trembesi Pademangan Timur, Kec, Pademangan Kota Adm, Jakarta Utara","https://www,tkdn,co,id",750000000,25.42,SF - SURYA FAJAR SEKURITAS,SF,2023-02-10,2023-02-20,140,220,2023-03-02,2023-03-06,2023-03-06,2023-03-07,2023-03-08,0.5,250.0
Closed,SAGE,PT Saptausaha Gemilangindah Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,100.0,0.35,0.2814814814814815,-0.06936416184971098,-0.06832298136645963,-0.06666666666666667,-0.06428571428571428,-0.06870229007633588,-0.69,Bergerak dalam bidang real estat,"Jl, Kramat Raya No, 32-34 Kel, Kramat Kec, Senen, Jakarta Pusat, DKI Jakarta 10450","https://www,saptagroup,com/",1610000000,20.04,II - DANATAMA MAKMUR SEKURITAS,"II,SH",2023-02-16,2023-02-22,100,125,2023-03-02,2023-03-06,2023-03-06,2023-03-07,2023-03-08,1.25,110.0
Closed,CUAN,PT Petrindo Jaya Kreasi Tbk,Energy,Coal Production,Utama,220.0,-0.8754545454545454,0.248175182481752,0.24561403508771923,0.244131455399061,0.24528301886792453,0.25,-0.06666666666666667,10.5,Pertambangan Batubara,"Gedung Wisma Barito Pacific, lantai 3 B Jl, Let, Jend, S, Parman Kav, 62-63, Jakarta,","https://petrindo,co,id",1690000000,15.03,HP - HENAN PUTIHRAI SEKURITAS,"HP,OD",2023-02-17,2023-02-22,200,220,2023-03-02,2023-03-06,2023-03-06,2023-03-07,2023-03-08,0.0,
Closed,PTMP,PT Mitra Pack Tbk,Industrials,Diversified Industrial Trading,Pengembangan,120.0,0.19166666666666668,-0.02097902097902098,-0.02142857142857143,0.014598540145985401,-0.02158273381294964,-0.03676470588235294,-0.015267175572519083,-0.26666666666666666,"distributor resmi & penyewaan barang-barang industri pengemasan termasuk suku cadang dan service,,,","Jl Pangeran Jayakarta Komplek 135 Blok B-20 Mangga Dua Selatan, Sawah Besar, Jakarta Pusat","https://www,mitrapack,co,id",800000000,25.24,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-02-07,2023-02-09,100,120,2023-02-27,2023-03-02,2023-03-02,2023-03-03,2023-03-06,0.0,
Closed,BDKR,PT Berdikari Pondasi Perkasa Tbk,Infrastructures,Heavy Constructions & Civil Engineering,Pengembangan,200.0,0.15,0.06956521739130435,-0.024390243902439025,-0.041666666666666664,0.12173913043478261,-0.023255813953488372,0.023809523809523808,-0.145,"Bergerak dalam bidang pondasi, perbaikan tanah, konstruksi dermaga, alat berat dan penyewaan crane",,"https://www,ptbppid,com",706100000,15.0,MG - SEMESTA INDOVEST SEKURITAS,MG,2023-02-06,2023-02-10,188,200,2023-02-27,2023-03-01,2023-03-01,2023-03-02,2023-03-03,0.5,500.0
Closed,HILL,PT Hillcon Tbk,Basic Materials,Diversified Metals & Minerals,Utama,1250.0,-0.7872,0.12406015037593984,0.010033444816053512,0.033112582781456956,0.01282051282051282,0.03164556962025317,0.006134969325153374,-0.8848,"Aktivitas Perusahaan Holding, Aktivitas Konsultasi Manajemen, Jasa Pertambangan dan Jasa Konstruksi","Blok R2, Jl, Taman Modern No, 19 RT,014/RW,006, Ujung Menteng, Kecamatan Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960","https://www,hillcon,co,id/",442300000,15.0,YP - MIRAE ASSET SEKURITAS INDONESIA,"YP,AZ,RX",2023-01-12,2023-02-03,1250,2000,2023-02-23,2023-02-27,2023-02-27,2023-02-28,2023-03-01,0.0,
Closed,FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,Consumer Cyclicals,Advertising,Pengembangan,100.0,0.0,0.21,0.34710743801652894,-0.06748466257668712,-0.06578947368421052,0.056338028169014086,-0.06666666666666667,6.9,"Bergerak dalam bidang periklanan, aktivitas desain khusus film, video, program TV, animasi dan komik","Fatmawati Mas Blok III No, 307-309 Jl, RS Fatmawati No 20 Jakarta Selatan, Indonesia","https://futurphuture,io/",1278000000,20.0,IU - INDO CAPITAL SEKURITAS,"IU,HD",2023-02-01,2023-02-07,100,120,2023-02-21,2023-02-23,2023-02-23,2023-02-24,2023-02-27,0.8,135.0
Closed,PGEO,PT Pertamina Geothermal Energy Tbk,Infrastructures,Electric Utilities,Utama,875.0,0.0,-0.05142857142857143,-0.03614457831325301,0.04375,0.041916167664670656,0.005747126436781609,-0.017142857142857144,0.36,Menyelenggarakan usaha di bidang panas bumi dari sisi hulu dan/atau sisi hilir serta kegiatan usaha,"Grha Pertamina – Tower Pertamax Lt, 7 Jl, Medan Merdeka Timur No, 11-13 Gambir, Jakarta Pusat 10110, Indonesia","https://www,pge,pertamina,com",10350000000,25.0,CC - MANDIRI SEKURITAS,"CC,CS,DX,GW,IF,KZ,PF",2023-02-01,2023-02-09,820,945,2023-02-20,2023-02-22,2023-02-22,2023-02-23,2023-02-24,0.0,
Closed,KING,PT Hoffmen Cleanindo Tbk,Industrials,Human Resource & Employment Services,Akselerasi,130.0,-0.1,-0.09401709401709402,-0.09433962264150944,0.09375,0.09523809523809523,0.09565217391304348,-0.03968253968253968,0.5384615384615384,"Jasa Cleaning Service, Security, Washroom Hygiene, Labour Supply dan Parkir melalui Perusahaan Anak","Jl, Raya Jembatan Tiga No, 8 Penjaringan Jakarta Utara 14440","https://www,hoffmen,co,id",520000000,20.0,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-01-25,2023-01-30,115,130,2023-02-10,2023-02-14,2023-02-14,2023-02-15,2023-02-16,0.5,200.0
Closed,HALO,PT Haloni Jane Tbk,Healthcare,Healthcare Equipment,Pengembangan,100.0,0.17,0.008547008547008548,0.11016949152542373,-0.06870229007633588,-0.02459016393442623,0.058823529411764705,-0.031746031746031744,-0.07,Bergerak dalam bidang barang dari karet untuk kesehatan,"Jl Raya Serang km, 13,8 Kawasan Industri Tristate, Sukadamai Cikupa Tangerang Indonesia","http://halonijane,co,id/",1130000000,20.0,II - DANATAMA MAKMUR SEKURITAS,"II,CP",2023-01-17,2023-01-24,100,150,2023-02-01,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.5,150.0
Closed,VAST,PT Vastland Indonesia Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,108.0,-0.06481481481481481,-0.04950495049504951,0.25,-0.06666666666666667,-0.03571428571428571,-0.027777777777777776,0.02857142857142857,0.5462962962962963,Real Estate yang Dimiliki Sendiri atau Disewa,"Jl, Tembesu No, 8A, Kel, Campang Raya, Sukabumi, Bandar Lampung, Lampung 35122","https://www,vastland,co,id",650000000,21.27,AO - ERDIKHA ELIT SEKURITAS,AO,2023-01-16,2023-01-20,100,109,2023-02-01,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.2,338.0
Closed,PACK,PT Solusi Kemasan Digital Tbk,Industrials,Commercial Printing,Akselerasi,162.0,-0.09876543209876543,-0.0958904109589041,-0.06060606060606061,-0.0967741935483871,-0.08928571428571429,-0.0784313725490196,0.02127659574468085,10.851851851851851,Industri Percetakan Digital Untuk Kemasan Fleksibel,"JL, Jababeka 2 Blok C/11-D Kawasan Industri Jababeka Cikarang Utara Kabupaten Bekasi, Jawa Barat 17530","https://www,flexypack,com",308000000,20.03,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-01-12,2023-01-17,110,162,2023-02-02,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.2,350.0
Closed,CHIP,PT Pelita Teknologi Global Tbk,Technology,Electronic Equipment & Instruments,Akselerasi,160.0,0.1,0.09659090909090909,0.09844559585492228,0.09433962264150944,-0.008620689655172414,0.034782608695652174,0.09243697478991597,6.875,Bergerak dalam Bidang Aktivitas Konsultasi dan Perancangan Internet of Things & Industri Smart Card,"Jl, Gatot Subroto KM 5, No 66, Kroncong, Jatiuwung, Tangerang, Banten 15134","https://www,pelitateknologi,com",200000000,24.81,YJ - LOTUS ANDALAN SEKURITAS,YJ,2023-01-17,2023-01-24,140,180,2023-02-02,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.0,
Closed,IRSX,PT Aviana Sinar Abadi Tbk,Technology,Software,Pengembangan,101.0,0.019801980198019802,-0.019417475728155338,-0.009900990099009901,-0.07,0.010752688172043012,0.010638297872340425,-0.042105263157894736,5.8316831683168315,Bergerak di Bidang Aktivitas Pemrograman Komputer Lainnya,"Jl, Alaydrus No, 66 BC Lantai 3 - RT,10/RW,2, Petojo Utara, Gambir, Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta 10130","https://aviana,co,id/",1000000000,20.0,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-01-11,2023-01-17,100,101,2023-02-01,2023-02-03,2023-02-03,2023-02-06,2023-02-07,1.4,91.0
Closed,NAYZ,PT Hassana Boga Sejahtera Tbk,Consumer Non-Cyclicals,Processed Foods,Akselerasi,100.0,-0.1,-0.1,-0.09876543209876543,0.0273972602739726,-0.04,0.05555555555555555,0.06578947368421052,-0.34,Menjalankan usaha dalam bidang industri makanan bayi,"Kawasan Pergudangan Multiguna Taman Tekno 2 Blok L2 No, 35 BSD, Tangerang Selatan, Banten","https://www,hassana,co,id/",510000000,20.0,SF - SURYA FAJAR SEKURITAS,SF,2023-01-02,2023-01-11,100,120,2023-01-31,2023-02-02,2023-02-02,2023-02-03,2023-02-06,1.0,125.0
Closed,FWCT,PT Wijaya Cahaya Timber Tbk,Basic Materials,Timber,Pengembangan,118.0,0.3474576271186441,-0.06918238993710692,-0.06756756756756757,-0.06521739130434782,-0.06976744186046512,-0.06666666666666667,0.14285714285714285,0.23728813559322035,Industri Kayu Lapis,"Jl, Puri Indah, Ruko Sentra Niaga Puri Indah Blok T1 No,47, Kembangan Selatan, Kembangan, Jakarta Barat, Jakarta 11610","http://wijayacahayatimber,com/",375000000,20.0,YJ - LOTUS ANDALAN SEKURITAS,YJ,2023-01-09,2023-01-16,108,118,2023-01-26,2023-01-30,2023-01-30,2023-01-31,2023-02-01,0.0,
Closed,LAJU,PT Jasa Berdikari Logistics Tbk,Transportation & Logistic,Logistics & Deliveries,Pengembangan,100.0,0.35,0.02962962962962963,-0.06474820143884892,0.007692307692307693,0.07633587786259542,0.0851063829787234,-0.058823529411764705,-0.24,Jasa Logistik Terintegrasi,"Jl, Kopi No, 4 D Lt, 2, Roa Malaka, Tambora Jakarta Barat – 11230 Telepon: 021 – 6912287","https://www,jasaberdikari,co,id",700000000,32.56,XA - NH KORINDO SEKURITAS INDONESIA,XA,2022-12-30,2023-01-06,100,150,2023-01-20,2023-01-25,2023-01-25,2023-01-26,2023-01-27,0.2,175.0
Closed,PEVE,PT Penta Valent Tbk,Healthcare,Pharmaceuticals,Pengembangan,149.0,0.3422818791946309,0.22,-0.05737704918032787,0.0,-0.043478260869565216,-0.06363636363636363,0.0,2.523489932885906,Distributor Produk Farmasi dan Produk Konsumsi,"Jl, Kedoya Raya No, 33, Kedoya Utara, Kebon Jeruk 11520","http://www,pentavalent,co,id/",353125000,20.0,YJ - LOTUS ANDALAN SEKURITAS,YJ,2022-12-30,2023-01-05,120,149,2023-01-17,2023-01-19,2023-01-19,2023-01-20,2023-01-24,0.0,
Canceled,BSMT-C1,"PT Bank Pembangunan Daerah Sumatera Utara Tbk,",Financials,Banks,Utama,,,,,,,,,,Jasa Perbankan,"Gedung Bank SUMUT JL, Imam Bonjol No 18 Medan 20212 Sumatera Utara, Indonesia","https://www,banksumut,co,id",2934798300,23.0,OD - BRI DANAREKSA SEKURITAS,"OD,AI,DR,PP",2023-01-05,2023-01-18,350,510,,,,,,0.0,
Closed,BMBL,PT Lavender Bina Cendikia Tbk,Consumer Cyclicals,Education Services,Akselerasi,188.0,-0.09574468085106383,-0.1,-0.09803921568627451,-0.09420289855072464,-0.096,-0.09734513274336283,0.0,-0.723404255319149,Pendidikan Bimbingan Belajar dan Konseling Swasta,"Office Tower Taman Melati Lt,5 Jalan Margonda Raya no,525 Depok, Jawa Barat","http://www,lavenderprograms,com/",280000000,27.19,HD - KGI SEKURITAS INDONESIA,"HD,YP",2022-12-19,2022-12-26,187,196,2023-01-03,2023-01-09,2023-01-09,2023-01-10,2023-01-11,0.8,250.0
Closed,WINE,PT Hatten Bali Tbk,Consumer Cyclicals,Consumer Distributors,Pengembangan,129.0,0.3488372093023256,0.3448275862068966,0.24786324786324787,0.1095890410958904,-0.06790123456790123,-0.06622516556291391,-0.06382978723404255,0.5503875968992248,Distribusi Minuman Beralkohol dan Pengolahannya melalui Perusahaan Anak,"Hatten Wines Building Jl, Bypass Ngurah Rai No, 393, Sanur, Bali","https://www,hattenbali,co,id",678000000,25.02,XA - NH KORINDO SEKURITAS INDONESIA,XA,2022-12-19,2022-12-22,100,150,2023-01-03,2023-01-06,2023-01-06,2023-01-09,2023-01-10,0.0,
Closed,SUNI,PT Sunindo Pratama Tbk,Energy,"Oil, Gas & Coal Equipment & Services",Pengembangan,300.0,0.0,-0.03333333333333333,0.10344827586206896,-0.05625,0.0,-0.019867549668874173,0.006756756756756757,1.7166666666666666,"Bergerak dalam bidang perdagangan besar mesin, peralatan dan perlengkapan lainnya, perdagangan besar","Jl, Prof Dr, Soepomo SH, No, 48, Tebet Jakarta Selatan 12870, Indonesia","https://www,sunindogroup,com",600000000,24.0,AI - UOB KAY HIAN SEKURITAS,AI,2022-12-19,2022-12-23,280,300,2023-01-02,2023-01-05,2023-01-05,2023-01-06,2023-01-09,0.0,
Closed,CBRE,PT Cakra Buana Resources Energi Tbk,Energy,Coal Distribution,Pengembangan,108.0,0.3425925925925926,0.3448275862068966,-0.06666666666666667,-0.06593406593406594,-0.06470588235294118,-0.06918238993710692,0.0472972972972973,9.37037037037037,Angkutan Laut Dalam Negeri Untuk Barang Umum,"Sona Topas Tower Lt, 5A, Jl, Jenderal Sudirman Kav, 26, Jakarta Selatan 12920, Indonesia","https://www,cbre,co,id",738000000,16.26,DR - RHB SEKURITAS INDONESIA,"DR,HD",2022-12-13,2022-12-16,100,110,2023-01-02,2023-01-05,2023-01-05,2023-01-06,2023-01-09,1.8,258.0
Closed,BEER,PT Jobubu Jarum Minahasa Tbk,Consumer Non-Cyclicals,Liquors,Pengembangan,220.0,0.17272727272727273,0.015503875968992248,-0.007633587786259542,0.007692307692307693,0.04580152671755725,-0.0072992700729927005,0.03676470588235294,0.01818181818181818,"Industri Minuman Beralkohol Hasil Destilasi, Industri Minuman Beralkohol Hasil Fermentasi Anggur","Desa Kapitu, Kelurahan Kapitu, Kecamatan Amurang Barat, Kabupaten Minahasa Selatan, Provinsi Sulawesi Utara","http://www,jobubu,com/",800000000,20.0,AI - UOB KAY HIAN SEKURITAS,AI,2022-12-16,2022-12-22,200,220,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-06,0.0,
